waypoint1	waypoint2	distance_m	duration_s
Taliesin, County Road C, Spring Green, Wisconsin	Glacier National Park, West Glacier, MT	2218019	74837
French Quarter, New Orleans, LA	Fort Snelling, Tower Avenue, Saint Paul, MN	1916146	63591
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	The Breakers, Ochre Point Avenue, Newport, RI	3057999	101536
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2347381	78156
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Gateway Arch, Washington Avenue, St Louis, MO	455098	15430
Maryland State House, 100 State Cir, Annapolis, MD 21401	Graceland, Elvis Presley Boulevard, Memphis, TN	1476772	48116
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Carlsbad Caverns National Park, Carlsbad, NM	874048	32551
Liberty Bell, 6th Street, Philadelphia, PA	Cape Canaveral, FL	1618906	52203
Liberty Bell, 6th Street, Philadelphia, PA	The Breakers, Ochre Point Avenue, Newport, RI	441382	16915
San Andreas Fault, San Benito County, CA	French Quarter, New Orleans, LA	3481242	111261
USS Alabama, Battleship Parkway, Mobile, AL	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2975383	98743
Graceland, Elvis Presley Boulevard, Memphis, TN	Yellowstone National Park, WY 82190	2487165	87170
Shelburne Farms, Harbor Road, Shelburne, VT	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1280422	46354
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1667022	56534
Liberty Bell, 6th Street, Philadelphia, PA	Terrace Hill, Grand Avenue, Des Moines, IA	1737865	57267
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Statue of Liberty, Liberty Island, NYC, NY	577249	21127
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Ashfall Fossil Bed, Royal, NE	976321	34111
Liberty Bell, 6th Street, Philadelphia, PA	Bryce Canyon National Park, Hwy 63, Bryce, UT	3687679	120631
USS Alabama, Battleship Parkway, Mobile, AL	Congress Hall, Congress Place, Cape May, NJ 08204	1862015	62154
Maryland State House, 100 State Cir, Annapolis, MD 21401	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1297516	44127
Taliesin, County Road C, Spring Green, Wisconsin	The Breakers, Ochre Point Avenue, Newport, RI	1855961	64286
Toltec Mounds, Scott, AR	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2344430	75072
Mount Vernon, Fairfax County, Virginia	Congress Hall, Congress Place, Cape May, NJ 08204	324587	13291
Acadia National Park, Maine	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2101168	71928
New Castle Historic District, Delaware	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1264487	42249
Hanford Site, Benton County, WA	Columbia River Gorge National Scenic Area, Oregon	202197	7339
Graceland, Elvis Presley Boulevard, Memphis, TN	The Breakers, Ochre Point Avenue, Newport, RI	2057815	69018
